dog,sample,burst-timestamp,sample-timestamp,behaviour,X,Y,Z
belle,118552,51:48.0,52:05.9,run,2322,2109,2561
belle,118553,51:48.0,52:06.0,run,1792,2431,0
belle,118554,52:09.0,52:09.0,run,1894,2379,1078
belle,118555,52:09.0,52:09.1,run,1290,2261,1687
belle,118556,52:09.0,52:09.2,run,1426,2093,2061
belle,118557,52:09.0,52:09.3,run,2189,2453,2220
belle,118558,52:09.0,52:09.4,run,1893,2366,90
belle,118559,52:09.0,52:09.5,run,2170,2523,1034
belle,118560,52:09.0,52:09.6,run,1906,1997,2440
belle,118561,52:09.0,52:09.7,run,1914,2272,2177
belle,118562,52:09.0,52:09.8,run,2564,2537,1354
belle,118563,52:09.0,52:09.9,run,2317,2419,1137
belle,118564,52:09.0,52:10.0,run,1813,2082,1832
belle,118565,52:09.0,52:10.1,run,1642,2131,2136
belle,118566,52:09.0,52:10.2,run,1852,1875,2139
belle,118567,52:09.0,52:10.3,run,2854,2122,191
belle,118568,52:09.0,52:10.4,run,2474,2286,1280
belle,118569,52:09.0,52:10.5,run,2375,2323,1632
belle,118570,52:09.0,52:10.6,run,1951,2071,1991
belle,118571,52:09.0,52:10.7,run,2100,2064,2023
belle,118572,52:09.0,52:10.8,run,2373,2330,1315
belle,118573,52:09.0,52:10.9,run,2133,2039,1427
belle,118574,52:09.0,52:11.0,run,1814,2176,1631
belle,118575,52:09.0,52:11.1,run,1959,2167,1750
belle,118576,52:09.0,52:11.2,run,2171,2146,2172
belle,118577,52:09.0,52:11.3,run,650,2346,1151
belle,118578,52:09.0,52:11.4,run,2393,2653,939
belle,118579,52:09.0,52:11.5,run,1567,1328,2812
belle,118580,52:09.0,52:11.6,run,1454,2115,3026
belle,118581,52:09.0,52:11.7,run,2473,2253,1922
belle,118582,52:09.0,52:11.8,run,2441,4039,1116
belle,118583,52:09.0,52:11.9,run,925,1463,2299
belle,118584,52:09.0,52:12.0,run,1907,2137,2674
belle,118585,52:09.0,52:12.1,run,2496,1235,1397
belle,118586,52:09.0,52:12.2,run,1660,1400,1091
belle,118587,52:09.0,52:12.3,run,1186,2092,1614
belle,118588,52:09.0,52:12.4,run,1707,1931,2420
belle,118589,52:09.0,52:12.5,run,2145,1369,1776
belle,118590,52:09.0,52:12.6,run,0,113,263
belle,118591,52:09.0,52:12.7,run,1672,2910,1638
belle,118592,52:09.0,52:12.8,run,896,1916,2735
belle,118593,52:09.0,52:12.9,run,4025,1210,1189
belle,118594,52:09.0,52:13.0,run,1787,1722,1664
belle,118595,52:09.0,52:13.1,run,1547,2096,2286
belle,118596,52:09.0,52:13.2,run,1925,1740,2872
