"","type","tag.serial.number","burst.start.timestamp","annotation","eobs_acceleration_sampling_frequency_per_axis","sample.timestamp","acceleration.x","acceleration.y","acceleration.z"
"175","acc",0,"2020-07-21 00:27:09.000","keep",10,"2020-07-21 00:27:10.800",1754,2409,1824
"176","acc",0,"2020-07-21 00:27:09.000","keep",10,"2020-07-21 00:27:10.900",1767,2405,1818
"177","acc",0,"2020-07-21 00:27:09.000","keep",10,"2020-07-21 00:27:11.000",1770,2418,1830
"178","acc",0,"2020-07-21 00:27:09.000","keep",10,"2020-07-21 00:27:11.100",1757,2411,1824
"179","acc",0,"2020-07-21 00:27:09.000","keep",10,"2020-07-21 00:27:11.200",1767,2422,1832
"180","acc",0,"2020-07-21 00:27:09.000","keep",10,"2020-07-21 00:27:11.300",1763,2417,1831
"181","acc",0,"2020-07-21 00:27:09.000","keep",10,"2020-07-21 00:27:11.400",1766,2423,1833
"182","acc",0,"2020-07-21 00:27:09.000","keep",10,"2020-07-21 00:27:11.500",1760,2425,1830
"183","acc",0,"2020-07-21 00:27:20.000","keep",10,"2020-07-21 00:27:20.000",1786,2417,1812
"184","acc",0,"2020-07-21 00:27:20.000","keep",10,"2020-07-21 00:27:20.100",1785,2421,1811
"185","acc",0,"2020-07-21 00:27:20.000","keep",10,"2020-07-21 00:27:20.200",1778,2417,1812
"186","acc",0,"2020-07-21 00:27:20.000","keep",10,"2020-07-21 00:27:20.300",1781,2420,1810
"187","acc",0,"2020-07-21 00:27:20.000","keep",10,"2020-07-21 00:27:20.400",1771,2422,1808
"188","acc",0,"2020-07-21 00:27:20.000","keep",10,"2020-07-21 00:27:20.500",1780,2421,1815
"189","acc",0,"2020-07-21 00:27:20.000","keep",10,"2020-07-21 00:27:20.600",1776,2421,1811
"190","acc",0,"2020-07-21 00:27:20.000","keep",10,"2020-07-21 00:27:20.700",1783,2416,1810
"191","acc",0,"2020-07-21 00:27:20.000","keep",10,"2020-07-21 00:27:20.800",1780,2415,1810
"192","acc",0,"2020-07-21 00:27:20.000","keep",10,"2020-07-21 00:27:20.900",1782,2418,1814
"193","acc",0,"2020-07-21 00:27:20.000","keep",10,"2020-07-21 00:27:21.000",1786,2417,1810
"194","acc",0,"2020-07-21 00:27:20.000","keep",10,"2020-07-21 00:27:21.100",1777,2417,1808
"195","acc",0,"2020-07-21 00:27:20.000","keep",10,"2020-07-21 00:27:21.200",1780,2414,1812
"196","acc",0,"2020-07-21 00:27:20.000","keep",10,"2020-07-21 00:27:21.300",1774,2422,1810
"197","acc",0,"2020-07-21 00:27:20.000","keep",10,"2020-07-21 00:27:21.400",1775,2422,1812
"198","acc",0,"2020-07-21 00:27:20.000","keep",10,"2020-07-21 00:27:21.500",1780,2412,1813
"199","acc",0,"2020-07-21 00:27:20.000","keep",10,"2020-07-21 00:27:21.600",1771,2418,1809
"200","acc",0,"2020-07-21 00:27:20.000","keep",10,"2020-07-21 00:27:21.700",1783,2418,1813
"201","acc",0,"2020-07-21 00:27:20.000","keep",10,"2020-07-21 00:27:21.800",1777,2414,1809
"202","acc",0,"2020-07-21 00:27:20.000","keep",10,"2020-07-21 00:27:21.900",1772,2415,1809
"203","acc",0,"2020-07-21 00:27:20.000","keep",10,"2020-07-21 00:27:22.000",1774,2414,1812
"204","acc",0,"2020-07-21 00:27:20.000","keep",10,"2020-07-21 00:27:22.100",1777,2417,1810
"205","acc",0,"2020-07-21 00:27:20.000","keep",10,"2020-07-21 00:27:22.200",1776,2415,1809
"206","acc",0,"2020-07-21 00:27:20.000","keep",10,"2020-07-21 00:27:22.300",1777,2415,1813
"207","acc",0,"2020-07-21 00:27:20.000","keep",10,"2020-07-21 00:27:22.400",1769,2411,1808
"208","acc",0,"2020-07-21 00:27:20.000","keep",10,"2020-07-21 00:27:22.500",1772,2413,1816
"209","acc",0,"2020-07-21 00:27:40.000","keep",10,"2020-07-21 00:27:40.000",2108,2384,1656
"210","acc",0,"2020-07-21 00:27:40.000","keep",10,"2020-07-21 00:27:40.100",2126,2353,1647
"211","acc",0,"2020-07-21 00:27:40.000","keep",10,"2020-07-21 00:27:40.200",2082,2366,1680
"212","acc",0,"2020-07-21 00:27:40.000","keep",10,"2020-07-21 00:27:40.300",2145,2333,1623
"213","acc",0,"2020-07-21 00:27:40.000","keep",10,"2020-07-21 00:27:40.400",2096,2361,1659
"214","acc",0,"2020-07-21 00:27:40.000","keep",10,"2020-07-21 00:27:40.500",2161,2350,1643
"215","acc",0,"2020-07-21 00:27:40.000","keep",10,"2020-07-21 00:27:40.600",2115,2356,1634
"216","acc",0,"2020-07-21 00:27:40.000","keep",10,"2020-07-21 00:27:40.700",2119,2351,1642
"217","acc",0,"2020-07-21 00:27:40.000","keep",10,"2020-07-21 00:27:40.800",2098,2363,1641
"218","acc",0,"2020-07-21 00:27:40.000","keep",10,"2020-07-21 00:27:40.900",2111,2369,1655
"219","acc",0,"2020-07-21 00:27:40.000","keep",10,"2020-07-21 00:27:41.000",2088,2371,1662
"220","acc",0,"2020-07-21 00:27:40.000","keep",10,"2020-07-21 00:27:41.100",2160,2360,1640
"221","acc",0,"2020-07-21 00:27:40.000","keep",10,"2020-07-21 00:27:41.200",2103,2344,1635
"222","acc",0,"2020-07-21 00:27:40.000","keep",10,"2020-07-21 00:27:41.300",2116,2355,1660
"223","acc",0,"2020-07-21 00:27:40.000","keep",10,"2020-07-21 00:27:41.400",2092,2373,1632
"224","acc",0,"2020-07-21 00:27:40.000","keep",10,"2020-07-21 00:27:41.500",2121,2410,1664
"225","acc",0,"2020-07-21 00:27:40.000","keep",10,"2020-07-21 00:27:41.600",2142,2320,1636
"226","acc",0,"2020-07-21 00:27:40.000","keep",10,"2020-07-21 00:27:41.700",2160,2361,1650
"227","acc",0,"2020-07-21 00:27:40.000","keep",10,"2020-07-21 00:27:41.800",2159,2292,1621
"228","acc",0,"2020-07-21 00:27:40.000","keep",10,"2020-07-21 00:27:41.900",2150,2323,1638
"229","acc",0,"2020-07-21 00:27:40.000","keep",10,"2020-07-21 00:27:42.000",2143,2279,1603
"230","acc",0,"2020-07-21 00:27:40.000","keep",10,"2020-07-21 00:27:42.100",2083,2336,1612
"231","acc",0,"2020-07-21 00:27:40.000","keep",10,"2020-07-21 00:27:42.200",2069,2326,1617
"232","acc",0,"2020-07-21 00:27:40.000","keep",10,"2020-07-21 00:27:42.300",2047,2371,1643
"233","acc",0,"2020-07-21 00:27:40.000","keep",10,"2020-07-21 00:27:42.400",2034,2348,1647
"234","acc",0,"2020-07-21 00:27:40.000","keep",10,"2020-07-21 00:27:42.500",1983,2377,1663
"235","acc",0,"2020-07-21 00:28:16.000","keep",10,"2020-07-21 00:28:16.000",1805,2482,1914
"236","acc",0,"2020-07-21 00:28:16.000","keep",10,"2020-07-21 00:28:16.100",1801,2479,1916
"237","acc",0,"2020-07-21 00:28:16.000","keep",10,"2020-07-21 00:28:16.200",1808,2478,1918
"238","acc",0,"2020-07-21 00:28:16.000","keep",10,"2020-07-21 00:28:16.300",1801,2481,1914
"239","acc",0,"2020-07-21 00:28:16.000","keep",10,"2020-07-21 00:28:16.400",1804,2476,1915
"240","acc",0,"2020-07-21 00:28:16.000","keep",10,"2020-07-21 00:28:16.500",1803,2477,1914
"241","acc",0,"2020-07-21 00:28:16.000","keep",10,"2020-07-21 00:28:16.600",1802,2480,1914
"242","acc",0,"2020-07-21 00:28:16.000","keep",10,"2020-07-21 00:28:16.700",1796,2483,1916
"243","acc",0,"2020-07-21 00:28:16.000","keep",10,"2020-07-21 00:28:16.800",1801,2481,1920
"244","acc",0,"2020-07-21 00:28:16.000","keep",10,"2020-07-21 00:28:16.900",1801,2483,1914
"245","acc",0,"2020-07-21 00:28:16.000","keep",10,"2020-07-21 00:28:17.000",1802,2477,1912
"246","acc",0,"2020-07-21 00:28:16.000","keep",10,"2020-07-21 00:28:17.100",1801,2476,1913
"247","acc",0,"2020-07-21 00:28:16.000","keep",10,"2020-07-21 00:28:17.200",1803,2476,1912
"248","acc",0,"2020-07-21 00:28:16.000","keep",10,"2020-07-21 00:28:17.300",1806,2472,1913
"249","acc",0,"2020-07-21 00:28:16.000","keep",10,"2020-07-21 00:28:17.400",1801,2475,1910
"250","acc",0,"2020-07-21 00:28:16.000","keep",10,"2020-07-21 00:28:17.500",1802,2474,1911
